position,company,location,overview,deadline,url
Full Stack Engineer/Developer,Tutopiya,Colombo,"We're looking for full-stack engineers who have at least one year of experience with Javascript, NodeJS, React and Redux Please refer to the job advert for further information.",Expires on 15/05/2020,https://xpress.jobs/Jobs/View/58717?Sectors=30
Software Engineer in Japan,Arinos Lanka Co (Pvt) Ltd,Colombo,"You can start to work as a professional senior software engineer, especially in the field of image-processing and industry software system development in Japan with Sri Lankan Co-workers.",Expires on 15/05/2020,https://xpress.jobs/Jobs/View/58717?Sectors=30
Senior Technical Specialist,Pearson Lanka Pvt Ltd,Colombo,Please refer to the job advert for further information.,Expires on 14/05/2020,https://xpress.jobs/Jobs/View/58717?Sectors=30
Software Architect (Technical),RGBSI,Colombo,"Position: Software Architect (Technical) The role involves understanding business requirements and architecting/designing enterprise level software solutions that are secure, scalable, high performing and robust. It is a hands-on role involving the entire lifecycle of software development and taking ownership of its delivery.",Expires on 14/05/2020,https://xpress.jobs/Jobs/View/58717?Sectors=30
Ruby on Rails (RoR) Developer,Cashwagon,Colombo,Please refer to the job advert for further information.,Expires on 14/05/2020,https://xpress.jobs/Jobs/View/58717?Sectors=30
Software Engineer (iOS),Wibble,Colombo,Please refer to the job advert for further information.,Expires on 14/05/2020,https://xpress.jobs/Jobs/View/58717?Sectors=30
Senior Software Engineer,Pearson Lanka Pvt Ltd,Colombo,"Bachelor’s degree in Computing or Information Technology/Management. Individuals who have a Bachelor’s degree in Mathematics, Physical Sciences, or a specialization in the Engineering field will also be considered. Minimum four (4) years of experience in software engineering. Having experience in a leadership role will be an advantage. ...",Expires on 13/05/2020,https://xpress.jobs/Jobs/View/58717?Sectors=30
Associate Technical Specialist,Pearson Lanka Pvt Ltd,Colombo,Minimum four (5) years of experience in software engineering and design One (1) year of additional experience in a similar capacity providing architectural & engineering guidance to the teams. Please refer to the job advert for further information.,Expires on 13/05/2020,https://xpress.jobs/Jobs/View/58717?Sectors=30
"Senior Front End Engineer| Full-time, Colombo-based",Trabeya Pty Ltd,Colombo,"Bachelor's degree or higher in Computer Science, Software Engineering or equivalent 3+ years of industry experience building and delivering user experiences and application features in a similar role Please refer to the job advert for further information.",Expires on 13/05/2020,https://xpress.jobs/Jobs/View/58717?Sectors=30
Ruby on Rails Developer,S.A.Knowledge Services (Pvt) Ltd,Colombo,Should have 2 to 3 years of Software development experience. Please refer to the job advert for further information.,Expires on 13/05/2020,https://xpress.jobs/Jobs/View/58717?Sectors=30
Internship Program 3 to 4 months,S.A.Knowledge Services (Pvt) Ltd,Colombo,Internship Program 3 to 4 months. Please refer to the job advert for further information.,Expires on 13/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30
Ionic Mobile Developers,S.A.Knowledge Services (Pvt) Ltd,Colombo,"Strong JavaScript coding experience. Server-side/Middleware (REST API services, microservices). Please refer to the job advert for further information.",Expires on 13/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30
Front End Developer,Macoocoo Pte Ltd,Colombo,"Macoocoo is a cloud/web-based/hosted software solution which provides functionality for sporting organizations such as governing bodies, sports clubs, event management companies, media, and production companies and educational bodies to manage competitions, tournaments and leagues, and behind-the-scenes administration. Macoocoo is starti...",Expires on 12/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30
Web Developers (Galle),Clutch Gen Esports,Colombo,INSTELLER SPECIALIZE IN GAMING AND SOFTWARE DEVELOPMENT ACCROSS THE GLOBE. Please refer to the job advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30
UI/UX Designers (Galle),Clutch Gen Esports,Colombo,INSTELLER SPECIALIZE IN GAMING AND SOFTWARE DEVELOPMENT ACCROSS THE GLOBE. Please refer to the job advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30
Senior Software Engineer (Full Stack),Cemex Software (Pvt) Ltd,Colombo,Please refer to the job advert for further information.,Expires on 11/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30
IT Engineers - Virtual Desktop Support,Global Choice Marketing Ltd,Colombo,"Responsible to provide Desktop support and Network related support inquiries. Diagnose, Fix and Maintain Desktops and rectify complex issues remotely to an English speaking client base.",Expires on 12/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30
WordPress Designer,DForce,Colombo,"We are a fast-growing, fresh-thinking, award-winning agency looking for an experienced WordPress Web Developer (front-end) with design experience.",Expires on 12/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30
Product Marketing Specialist - Female,Job Aims,Colombo,Kindly apply only if you have Sales & marketing experience in the IT sector! Please refer to the job advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30
Data Warehousing Consultant,Trabeya Pty Ltd,Colombo,"We are on the lookout for talented, innovative and self-motivated individuals who are passionate about next-generation data platforms to power machine learning at scale to join our dynamic and collaborative team. Please refer to the job advert for further information.",Expires on 12/05/2020,https://xpress.jobs/Jobs/View/59088?Sectors=30
Senior Software Engineer – Python,Aeturnum Lanka Private Limited,Colombo,Please refer to the job advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/57109?Sectors=30
Front-end R&D Engineer (Angular),Shine Bridge Solutions (Private) Limited,Colombo,Bachelors degree in IT / software engineering or related degree Industrial experience in angular development Please refer the advert for further information,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/57109?Sectors=30
Graphic Designer,SIXTH SENSE DIGITAL,Colombo,Digital Graphic Designer with 2-5 yrs work experience. Please refer to the advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/57109?Sectors=30
Front-End Developers - Venus IT (Matara),Venus IT (Pvt) Ltd,Colombo,Please refer to the job advert for further information.,Expires on 12/05/2020,https://xpress.jobs/Jobs/View/57109?Sectors=30
Software Engineer – Robotic Process Automation,InfoMate (Pvt) Ltd,Colombo,Please refer to the job advert for further information.,Expires on 08/05/2020,https://xpress.jobs/Jobs/View/57109?Sectors=30
Tech Lead - Development,H One Private Limited,Colombo,At least 4 years of experience in managing a technical team Experience in Agile Delivery methods (Scrum/ Kanban) Please refer to the job advert for further information.,Expires on 08/05/2020,https://xpress.jobs/Jobs/View/57109?Sectors=30
